Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Razor + unique peptides 25000am.1	Razor + unique peptides 25000am.2	Razor + unique peptides 25000am.3	Razor + unique peptides 2500am.1	Razor + unique peptides 2500am.2	Razor + unique peptides 2500am.3	Razor + unique peptides 250am.1	Razor + unique peptides 250am.2	Razor + unique peptides 250am.3	Unique peptides 25000am.1	Unique peptides 25000am.2	Unique peptides 25000am.3	Unique peptides 2500am.1	Unique peptides 2500am.2	Unique peptides 2500am.3	Unique peptides 250am.1	Unique peptides 250am.2	Unique peptides 250am.3	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Intensity	iBAQ	iBAQ 25000am.1	iBAQ 25000am.2	iBAQ 25000am.3	iBAQ 2500am.1	iBAQ 2500am.2	iBAQ 2500am.3	iBAQ 250am.1	iBAQ 250am.2	iBAQ 250am.3	LFQ intensity 25000am.1	LFQ intensity 25000am.2	LFQ intensity 25000am.3	LFQ intensity 2500am.1	LFQ intensity 2500am.2	LFQ intensity 2500am.3	LFQ intensity 250am.1	LFQ intensity 250am.2	LFQ intensity 250am.3	Potential contaminant	id	Peptide IDs	Peptide is razor	Oxidation (M) site IDs	Oxidation (M) site positions
"sp|P34760|TSA1_YEAST;sp|Q04120|TSA2_YEAST"	sp|P34760|TSA1_YEAST	"15;1"	"15;1"	"15;1"	sp|P34760|TSA1_YEAST Peroxiredoxin TSA1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TSA1 PE=1 SV=3	2	15	15	15	14	13	14	13	15	15	14	14	14	14	13	14	13	15	15	14	14	14	86.7	86.7	21.589	196	"196;196"	0	323.31	25951000000	1853600000	71941000	84624000	79344000	75185000	76682000	78067000	72553000	75017000	79654000	1058500000	977010000	1011800000	1091500000	1132800000	1098200000	1073600000	1079200000	1088100000		544	"1046;1189;1538;2173;2496;3196;3205;3331;3332;4156;4497;4498;5678;5679;7108"	"True;True;True;True;True;True;True;True;True;True;True;True;True;True;True"		
sp|P35691|TCTP_YEAST	sp|P35691|TCTP_YEAST	8	8	8	sp|P35691|TCTP_YEAST Translationally-controlled tumor protein homolog OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TMA19 PE=1 SV=1	1	8	8	8	8	7	7	8	7	8	8	8	8	8	7	7	8	7	8	8	8	8	39.5	39.5	18.741	167	167	0	172.55	11793000000	1310400000	47788000	59522000	55231000	49292000	51693000	52261000	54273000	55240000	55891000	467580000	491500000	487850000	497740000	518620000	512010000	525110000	518830000	534080000		548	"797;1127;2464;3986;3987;4000;4001;5191"	"True;True;True;True;True;True;True;True"		
"sp|P38711|RS27B_YEAST;sp|P35997|RS27A_YEAST"	"sp|P38711|RS27B_YEAST;sp|P35997|RS27A_YEAST"	"4;4"	"4;4"	"4;4"	"sp|P38711|RS27B_YEAST 40S ribosomal protein S27-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPS27B PE=1 SV=1;sp|P35997|RS27A_YEAST 40S ribosomal protein S27-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN"	2	4	4	4	4	3	3	4	4	4	4	4	4	4	3	3	4	4	4	4	4	4	46.3	46.3	8.8653	82	"82;82"	0	7.331	5097600000	1274400000	47032000	52262000	53254000	38102000	50790000	53267000	50654000	50655000	55946000	204700000	214530000	204860000	219260000	223150000	249710000	197360000	214220000	249280000		553	"4032;5608;5939;6488"	"True;True;True;True"		
sp|P36008|EF1G2_YEAST	sp|P36008|EF1G2_YEAST	16	16	14	sp|P36008|EF1G2_YEAST Elongation factor 1-gamma 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TEF4 PE=1 SV=1	1	16	16	14	16	14	15	14	14	15	16	16	15	14	12	13	12	12	13	14	14	13	39.3	36.9	46.52	412	412	0	174.55	9053200000	335300000	14037000	16288000	15543000	11462000	11756000	12400000	12508000	12227000	15074000	391420000	387320000	396350000	393160000	409880000	405850000	389670000	376470000	395550000		554	"370;996;2263;2519;2631;3067;3807;4731;4754;4819;5439;5520;5521;5972;6757;6774"	"True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True"		
sp|P36010|NDK_YEAST	sp|P36010|NDK_YEAST	9	9	9	sp|P36010|NDK_YEAST Nucleoside diphosphate kinase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YNK1 PE=1 SV=1	1	9	9	9	9	8	9	9	9	8	9	9	8	9	8	9	9	9	8	9	9	8	60.8	60.8	17.166	153	153	0	81.584	3471600000	289300000	10971000	12606000	12584000	11933000	12743000	10269000	12310000	11856000	10445000	141710000	146700000	143650000	152900000	165140000	162120000	145310000	138640000	148290000		555	"1151;1255;1999;2217;3193;4697;5214;5758;5852"	"True;True;True;True;True;True;True;True;True"		
sp|P36117|ALY1_YEAST	sp|P36117|ALY1_YEAST	2	2	2	sp|P36117|ALY1_YEAST Arrestin-related trafficking adapter 6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ALY1 PE=1 SV=1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3.4	3.4	102.54	915	915	0.0079208	1.5674	9330400000	190420000	7001300	8066400	7852200	7520500	7513500	7852100	7534500	7233400	7619500	428470000	371870000	396650000	464620000	415270000	413090000	393650000	401640000	397650000		564	"2054;2237"	"True;True"		
sp|P36421|SYYC_YEAST	sp|P36421|SYYC_YEAST	12	12	12	sp|P36421|SYYC_YEAST Tyrosine--tRNA ligase, cytoplasmic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TYS1 PE=1 SV=3	1	12	12	12	11	8	10	9	10	11	11	10	10	11	8	10	9	10	11	11	10	10	35.3	35.3	44.019	394	394	0	111.49	2718100000	100670000	4199800	4718400	4797600	3863800	4365100	4371000	3526000	3743900	4134500	116820000	132190000	118810000	129290000	120230000	112650000	119130000	117230000	112800000		569	"172;1679;1929;2413;2628;2715;3397;3411;4071;4575;4576;5469"	"True;True;True;True;True;True;True;True;True;True;True;True"		
"sp|P37012|PGM2_YEAST;sp|P33401|PGM1_YEAST"	sp|P37012|PGM2_YEAST	"11;2"	"11;2"	"11;2"	sp|P37012|PGM2_YEAST Phosphoglucomutase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PGM2 PE=1 SV=1	2	11	11	11	10	10	10	8	9	9	9	9	8	10	10	10	8	9	9	9	9	8	25.5	25.5	63.088	569	"569;570"	0	88.999	2493800000	75569000	2978000	3919300	3445300	2581600	2974900	2931800	2942600	2859500	2782400	104500000	108180000	102830000	112440000	108050000	104460000	104510000	110580000	110980000		570	"1654;2666;2791;4054;4967;5194;5195;5224;5629;5860;6940"	"True;True;True;True;True;True;True;True;True;True;True"		
sp|P37291|GLYC_YEAST	sp|P37291|GLYC_YEAST	15	15	14	sp|P37291|GLYC_YEAST Serine hydroxymethyltransferase, cytosolic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SHM2 PE=1 SV=2	1	15	15	14	12	12	13	13	12	12	13	11	11	11	11	12	12	11	11	12	10	10	35	33.5	52.218	469	469	0	80.368	3135000000	108100000	3690600	5152700	5293700	4519800	4279500	3950000	4178400	4289400	3940400	117580000	132810000	129640000	137270000	141330000	138210000	133210000	140900000	130440000		571	"566;1550;1970;2223;2910;2985;3101;3737;4397;4801;6206;6481;6509;7056;7119"	"True;True;True;True;True;True;True;True;True;True;True;True;True;True;True"		
sp|P38011|GBLP_YEAST	sp|P38011|GBLP_YEAST	17	17	17	sp|P38011|GBLP_YEAST Guanine nucleotide-binding protein subunit beta-like protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ASC1 PE=1 SV=4	1	17	17	17	17	13	16	16	17	16	17	16	17	17	13	16	16	17	16	17	16	17	87.8	87.8	34.805	319	319	0	291.57	17254000000	908090000	33367000	33670000	36263000	34085000	34747000	34777000	37852000	39286000	39236000	722430000	647760000	684380000	747460000	745180000	741480000	775430000	783970000	766810000		576	"16;60;388;498;499;615;763;838;2111;2262;2334;4233;5134;6295;6705;6730;7113"	"True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True"		
sp|P38013|AHP1_YEAST	sp|P38013|AHP1_YEAST	14	14	14	sp|P38013|AHP1_YEAST Peroxiredoxin AHP1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=AHP1 PE=1 SV=4	1	14	14	14	12	9	11	11	12	9	13	13	13	12	9	11	11	12	9	13	13	13	81.8	81.8	19.114	176	176	0	323.31	38769000000	3524400000	137240000	142330000	140820000	129490000	133130000	139630000	144480000	152210000	152390000	1635700000	1489900000	1542900000	1629700000	1640600000	1650200000	1710600000	1736200000	1702700000		577	"1281;1473;1496;1586;1843;1844;3212;3353;4353;4363;5128;5245;6372;6373"	"True;True;True;True;True;True;True;True;True;True;True;True;True;True"	136	33
sp|P38061|RL32_YEAST	sp|P38061|RL32_YEAST	6	6	6	sp|P38061|RL32_YEAST 60S ribosomal protein L32 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL32 PE=1 SV=1	1	6	6	6	4	5	5	5	4	5	5	6	5	4	5	5	5	4	5	5	6	5	42.3	42.3	14.771	130	130	0	34.719	3178900000	317890000	9896800	17004000	13939000	10518000	9948000	11613000	11071000	13045000	11563000	127440000	150860000	149220000	134440000	125400000	125320000	135600000	132400000	136960000		578	"853;1775;1846;2122;5766;6127"	"True;True;True;True;True;True"		
sp|P38088|SYG_YEAST	sp|P38088|SYG_YEAST	17	17	17	sp|P38088|SYG_YEAST Glycine--tRNA ligase 1, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=GRS1 PE=1 SV=3	1	17	17	17	14	14	13	13	13	14	14	15	14	14	14	13	13	13	14	14	15	14	31	31	78.183	690	690	0	157.48	3389100000	70605000	2285800	3580600	2955400	2324400	2490500	2863600	2878700	3361200	3094400	138690000	135140000	127660000	149000000	140860000	144650000	156770000	148400000	151040000		586	"67;1015;1553;2213;2619;3136;3483;4042;4377;4424;5089;5577;5973;6036;6255;6454;6862"	"True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True"		
sp|P38219|OLA1_YEAST	sp|P38219|OLA1_YEAST	15	15	15	sp|P38219|OLA1_YEAST Obg-like ATPase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=OLA1 PE=1 SV=1	1	15	15	15	11	11	13	12	13	13	10	12	10	11	11	13	12	13	13	10	12	10	48.7	48.7	44.174	394	394	0	136.11	7787800000	278130000	9784000	14487000	13607000	11826000	11118000	11663000	10487000	10667000	10487000	306220000	317160000	326840000	347760000	339820000	336200000	341530000	322730000	332000000		597	"187;307;441;666;850;1976;3501;3745;4006;4752;4886;5518;5560;5668;7064"	"True;True;True;True;True;True;True;True;True;True;True;True;True;True;True"		
sp|P38701|RS20_YEAST	sp|P38701|RS20_YEAST	5	5	5	sp|P38701|RS20_YEAST 40S ribosomal protein S20 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPS20 PE=1 SV=3	1	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	38.8	38.8	13.907	121	121	0	316.46	4508100000	500900000	18392000	24974000	22233000	20273000	19619000	20499000	20067000	20148000	19489000	175730000	195550000	190110000	201980000	196520000	200340000	196780000	192600000	180360000		620	"1283;4390;4895;6238;6955"	"True;True;True;True;True"		
"sp|P38707|SYNC_YEAST;sp|P34233|ASH1_YEAST"	sp|P38707|SYNC_YEAST	"17;1"	"17;1"	"17;1"	sp|P38707|SYNC_YEAST Asparagine--tRNA ligase, cytoplasmic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=DED81 PE=1 SV=1	2	17	17	17	15	13	13	13	13	13	17	16	15	15	13	13	13	13	13	17	16	15	34.8	34.8	62.206	554	"554;588"	0	200.29	4162900000	134290000	5330700	5991200	5264900	5189900	5196000	5209000	5484900	5856100	5862400	184880000	174710000	169690000	193790000	187400000	189710000	176080000	176460000	176990000		621	"712;1104;1124;1192;1815;2563;2827;3281;4372;5486;5585;5718;5719;5969;6363;6734;6944"	"True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True"		
"sp|P38720|6PGD1_YEAST;sp|P53319|6PGD2_YEAST"	sp|P38720|6PGD1_YEAST	"28;6"	"28;6"	"28;6"	sp|P38720|6PGD1_YEAST 6-phosphogluconate dehydrogenase, decarboxylating 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=GND1 PE=1 SV=1	2	28	28	28	25	25	25	26	26	26	26	25	27	25	25	25	26	26	26	26	25	27	78.7	78.7	53.543	489	"489;492"	0	323.31	25130000000	785310000	29195000	33865000	32079000	30430000	30790000	32171000	30955000	32894000	33670000	1039400000	952460000	975990000	1086900000	1105800000	1096100000	1090300000	1138500000	1137400000		625	"170;633;806;939;1044;1062;1153;1407;1603;1653;2004;2131;3628;3918;3947;4512;5049;5117;5236;5252;5567;6213;6459;6460;6462;6799;6808;6941"	"True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True"		
"sp|P38754|RL14B_YEAST;sp|P36105|RL14A_YEAST"	"sp|P38754|RL14B_YEAST;sp|P36105|RL14A_YEAST"	"8;6"	"8;6"	"8;6"	"sp|P38754|RL14B_YEAST 60S ribosomal protein L14-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL14B PE=1 SV=1;sp|P36105|RL14A_YEAST 60S ribosomal protein L14-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN"	2	8	8	8	5	6	6	6	6	6	6	6	5	5	6	6	6	6	6	6	6	5	51.4	51.4	15.153	138	"138;138"	0	60.064	4397500000	399770000	14605000	19992000	17383000	16073000	16347000	16854000	16198000	16780000	14725000	183720000	187220000	186160000	195560000	193970000	195690000	184710000	188450000	182250000		626	"39;1842;3357;3373;3384;4813;6750;6751"	"True;True;True;True;True;True;True;True"		
sp|P38788|SSZ1_YEAST	sp|P38788|SSZ1_YEAST	17	17	17	sp|P38788|SSZ1_YEAST Ribosome-associated complex subunit SSZ1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SSZ1 PE=1 SV=2	1	17	17	17	17	13	13	16	15	14	16	16	16	17	13	13	16	15	14	16	16	16	50.7	50.7	58.237	538	538	0	267.78	8995600000	290180000	12985000	11600000	10069000	10039000	10386000	9851700	12493000	13144000	13228000	399880000	382530000	361990000	383890000	398720000	385900000	396690000	387770000	381580000		634	"113;263;1010;1111;2000;2032;2736;3382;3731;4142;4143;4410;4440;5104;6264;6308;6890"	"True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True"		
sp|P38879|NACA_YEAST	sp|P38879|NACA_YEAST	5	5	5	sp|P38879|NACA_YEAST Nascent polypeptide-associated complex subunit alpha OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=EGD2 PE=1 SV=3	1	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	38.5	38.5	18.709	174	174	0	52.202	2701000000	337620000	12786000	16538000	15327000	13956000	13376000	13441000	13262000	13093000	13563000	111950000	101000000	108400000	114850000	116600000	126600000	115940000	109350000	116700000		644	"902;3379;5058;5062;5063"	"True;True;True;True;True"		
sp|P38891|BCA1_YEAST	sp|P38891|BCA1_YEAST	12	12	10	sp|P38891|BCA1_YEAST Branched-chain-amino-acid aminotransferase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=BAT1 PE=1 SV=1	1	12	12	10	10	9	9	9	9	9	9	9	9	8	7	7	7	7	7	7	7	7	43	36.4	43.596	393	393	0	135.54	5632800000	225310000	8621400	10375000	9604200	9080100	9310000	9113300	8981300	9416300	9324800	238870000	235000000	226180000	259410000	259280000	255910000	253990000	260750000	250820000		646	"834;974;1238;1361;2180;2414;2612;3528;3608;4959;6522;7127"	"True;True;True;True;True;True;True;True;True;True;True;True"		
sp|P39015|STM1_YEAST	sp|P39015|STM1_YEAST	14	14	14	sp|P39015|STM1_YEAST Suppressor protein STM1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=STM1 PE=1 SV=3	1	14	14	14	13	11	12	12	14	12	14	14	14	13	11	12	12	14	12	14	14	14	57.5	57.5	29.995	273	273	0	323.31	7259400000	453710000	16170000	20083000	17940000	19495000	17212000	18490000	17883000	20082000	21199000	298010000	330450000	283080000	351100000	321320000	330180000	321370000	319820000	333080000		660	"91;1094;1346;2685;3150;3228;3347;3361;4655;5400;5401;5662;5663;6511"	"True;True;True;True;True;True;True;True;True;True;True;True;True;True"		
sp|P39676|FHP_YEAST	sp|P39676|FHP_YEAST	17	17	17	sp|P39676|FHP_YEAST Flavohemoprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YHB1 PE=1 SV=2	1	17	17	17	17	15	17	16	17	17	16	15	15	17	15	17	16	17	17	16	15	15	72.4	72.4	44.646	399	399	0	323.31	13960000000	698020000	27999000	30055000	29674000	27006000	28452000	29235000	27275000	24622000	25642000	596370000	542890000	541440000	609170000	630370000	622710000	595170000	597230000	606070000		671	"356;546;664;723;1318;1375;1510;1695;2537;2555;2813;4024;4384;4507;4594;4847;6301"	"True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True"		
sp|P39708|DHE5_YEAST	sp|P39708|DHE5_YEAST	14	6	6	sp|P39708|DHE5_YEAST NADP-specific glutamate dehydrogenase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=GDH3 PE=3 SV=1	1	14	6	6	6	4	5	5	5	5	5	5	5	6	4	5	5	5	5	5	5	5	22.8	22.8	49.627	457	457	0	133.45	2690800000	84087000	7421900	2416600	2522400	2515200	2705900	2699600	3221600	3643000	3207800	123570000	94575000	122730000	116080000	130580000	123760000	129810000	127970000	111580000		673	"41;709;1239;1701;1754;1973;1994;2091;2613;4669;5322;6464;6629;6648"	"True;True;False;False;False;True;True;False;False;False;True;False;False;True"		
"sp|P39939|RS26B_YEAST;sp|P39938|RS26A_YEAST"	"sp|P39939|RS26B_YEAST;sp|P39938|RS26A_YEAST"	"4;4"	"4;4"	"4;4"	"sp|P39939|RS26B_YEAST 40S ribosomal protein S26-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPS26B PE=1 SV=1;sp|P39938|RS26A_YEAST 40S ribosomal protein S26-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN"	2	4	4	4	4	3	3	4	3	3	4	4	3	4	3	3	4	3	3	4	4	3	37.8	37.8	13.447	119	"119;119"	0	16.727	3598300000	719660000	27624000	38122000	32332000	30340000	28990000	28836000	27016000	26904000	26775000	145530000	164480000	141850000	157030000	162120000	139630000	162480000	165470000	160880000		684	"881;3675;4538;4652"	"True;True;True;True"		
sp|P39954|SAHH_YEAST	sp|P39954|SAHH_YEAST	22	22	22	sp|P39954|SAHH_YEAST Adenosylhomocysteinase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SAH1 PE=1 SV=1	1	22	22	22	19	17	19	18	17	18	19	19	18	19	17	19	18	17	18	19	19	18	53.2	53.2	49.125	449	449	0	146.03	13261000000	631460000	24476000	27210000	27695000	20672000	23141000	26134000	26508000	27098000	26772000	535560000	523020000	512950000	542160000	561100000	573110000	585050000	584790000	584910000		685	"517;625;1117;1230;1436;1619;2043;2484;2542;2558;2830;3172;3272;3759;3908;5297;5802;6190;6489;6525;6568;7003"	"True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True"		
sp|P40069|IMB4_YEAST	sp|P40069|IMB4_YEAST	17	17	17	sp|P40069|IMB4_YEAST Importin subunit beta-4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=KAP123 PE=1 SV=1	1	17	17	17	16	15	16	14	14	15	16	15	14	16	15	16	14	14	15	16	15	14	25.1	25.1	122.6	1113	1113	0	273.07	2920500000	52151000	2062200	2127000	2159600	1918400	1933600	2161600	2303600	2118200	2187200	118320000	116690000	116060000	129940000	134610000	131540000	135090000	143550000	130380000		701	"289;415;618;1454;1490;1557;2135;3640;3762;4268;4288;5106;5855;6033;6349;6455;6739"	"True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True"		
sp|P40185|MMF1_YEAST	sp|P40185|MMF1_YEAST	7	7	7	sp|P40185|MMF1_YEAST Protein MMF1, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MMF1 PE=1 SV=1	1	7	7	7	6	5	6	5	6	6	5	5	6	6	5	6	5	6	6	5	5	6	64.8	64.8	15.908	145	145	0	73.855	2928700000	266250000	10257000	12573000	10854000	10797000	9652900	10509000	10347000	10882000	11561000	121130000	117780000	109140000	126650000	119680000	123800000	129080000	124920000	134310000		709	"120;410;2447;3438;4461;4517;6516"	"True;True;True;True;True;True;True"		
"sp|P40212|RL13B_YEAST;sp|Q12690|RL13A_YEAST"	"sp|P40212|RL13B_YEAST;sp|Q12690|RL13A_YEAST"	"11;10"	"11;10"	"11;10"	"sp|P40212|RL13B_YEAST 60S ribosomal protein L13-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL13B PE=1 SV=1;sp|Q12690|RL13A_YEAST 60S ribosomal protein L13-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN"	2	11	11	11	11	11	11	11	10	11	11	11	11	11	11	11	11	10	11	11	11	11	53.3	53.3	22.525	199	"199;199"	0	64.658	8464100000	769460000	31583000	40345000	38485000	28253000	27526000	28390000	27525000	29373000	28053000	339010000	342040000	368820000	356120000	360580000	354610000	333300000	364990000	327930000		711	"29;425;595;767;2068;2581;2812;4633;4769;5843;6339"	"True;True;True;True;True;True;True;True;True;True;True"		
sp|P40825|SYA_YEAST	sp|P40825|SYA_YEAST	18	18	18	sp|P40825|SYA_YEAST Alanine--tRNA ligase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ALA1 PE=1 SV=3	1	18	18	18	14	13	13	18	17	17	17	16	18	14	13	13	18	17	17	17	16	18	27.1	27.1	110.06	983	983	0	323.31	3022800000	43182000	1329300	1750700	1591800	2012600	1767100	1807400	1857000	1818600	1963600	128910000	126970000	122430000	146130000	133890000	131200000	134340000	137340000	138100000		736	"570;705;898;1403;2767;2964;3345;3407;3634;4217;4251;4274;4762;5409;5682;5751;5927;6942"	"True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True"		
sp|P41056|RL33B_YEAST	sp|P41056|RL33B_YEAST	5	5	1	sp|P41056|RL33B_YEAST 60S ribosomal protein L33-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL33B PE=1 SV=2	1	5	5	1	4	4	4	4	4	4	4	4	5	0	0	0	0	0	0	0	0	1	43	15	12.168	107	107	0	22.184	3109000000	345440000	10672000	14513000	14196000	14023000	14069000	14390000	10458000	10810000	15795000	132970000	132350000	147030000	126930000	128190000	130090000	129140000	136340000	129470000		743	"2510;2602;2669;2705;6507"	"True;True;True;True;True"		
sp|P41277|GPP1_YEAST	sp|P41277|GPP1_YEAST	10	10	6	sp|P41277|GPP1_YEAST Glycerol-1-phosphate phosphohydrolase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=GPP1 PE=1 SV=3	1	10	10	6	8	10	9	9	8	7	9	8	7	4	6	5	5	4	4	5	4	3	49.2	32.8	27.947	250	250	0	39.667	5029300000	279400000	11231000	13582000	11326000	11214000	10986000	10016000	10861000	11248000	11372000	219190000	208100000	213690000	224380000	218860000	218650000	210040000	212650000	205780000		746	"836;1584;1991;3078;3469;4774;6718;6759;6769;6924"	"True;True;True;True;True;True;True;True;True;True"		
sp|P41338|THIL_YEAST	sp|P41338|THIL_YEAST	14	14	14	sp|P41338|THIL_YEAST Acetyl-CoA acetyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ERG10 PE=1 SV=3	1	14	14	14	14	12	14	13	13	14	14	14	14	14	12	14	13	13	14	14	14	14	51	51	41.728	398	398	0	183.92	5936400000	258100000	9847800	11047000	11107000	9910400	9784700	10446000	10428000	11014000	11119000	242750000	256510000	245550000	272180000	261820000	256700000	251230000	257800000	259030000		747	"247;771;1195;1418;1617;1694;2158;2395;5448;5676;5980;6521;6530;6720"	"True;True;True;True;True;True;True;True;True;True;True;True;True;True"		
sp|P41805|RL10_YEAST	sp|P41805|RL10_YEAST	12	12	12	sp|P41805|RL10_YEAST 60S ribosomal protein L10 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL10 PE=1 SV=1	1	12	12	12	11	9	10	11	9	10	11	11	11	11	9	10	11	9	10	11	11	11	55.2	55.2	25.361	221	221	0	70.143	5463000000	321350000	11953000	11505000	12619000	11445000	12065000	12094000	13956000	13980000	14110000	234250000	214820000	208470000	227130000	236160000	231110000	243530000	242030000	243310000		748	"544;962;1075;1179;3125;3169;4330;5874;6215;6775;6974;7017"	"True;True;True;True;True;True;True;True;True;True;True;True"		
sp|P41940|MPG1_YEAST	sp|P41940|MPG1_YEAST	16	16	16	sp|P41940|MPG1_YEAST Mannose-1-phosphate guanyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PSA1 PE=1 SV=2	1	16	16	16	13	14	13	11	15	13	14	13	14	13	14	13	11	15	13	14	13	14	53.2	53.2	39.565	361	361	0	323.31	9024300000	334230000	13073000	17068000	13098000	11320000	14127000	13063000	14349000	13068000	14185000	378340000	363340000	353730000	397240000	403410000	390420000	400820000	395300000	394510000		757	"752;904;1464;2184;2739;2900;3185;3251;3402;3403;3449;4914;5276;5527;5593;6945"	"True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True"		
sp|P43616|DUG1_YEAST	sp|P43616|DUG1_YEAST	14	14	14	sp|P43616|DUG1_YEAST Cys-Gly metallodipeptidase DUG1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=DUG1 PE=1 SV=1	1	14	14	14	12	11	10	9	10	11	9	11	11	12	11	10	9	10	11	9	11	11	45.1	45.1	52.871	481	481	0	237	4419500000	152400000	6118100	6808800	6618500	5670600	6403600	6581400	5643700	6413700	6468800	193110000	176010000	172330000	196650000	191450000	195010000	199900000	205660000	198910000		773	"264;792;1724;2349;2389;2637;2854;3307;3486;4231;4376;5232;5726;6104"	"True;True;True;True;True;True;True;True;True;True;True;True;True;True"		
